accnumber_hash,avg_event_source_faultRef_HASH_count,max_clearance_time,avg_event_source_clearance_time_seconds
2a7c97b59c3c3339aeea5775d5f3128020c855dbc5f32dcee1530296ee1d71df,1,76902,76902
bee71d919d0565493a2b0266d658e08860953f38769a3da0b5861754adeb8fb7,2,6778,8486
4bead312f464bb4150a8bf0483f2f096c4f1c0ff0f8665a07d4db1a2113aba4f,1,9165,9165
bd90432ac86139e771d7614b20c48b34300b686438295b184277d1868b32e804,1,17241,17241
cd3ec2a8f30cadf02a2c78e37bc50c5bf6295c5af21c5cb086d78e075bb25a40,3,112545,191948
3655548f6e3d5bf0f4f115cd8cc64f19a41078e38c82bd84c3cfd1433038ab62,2,72399,81682
712cd00e0eea4ba461ca3395da34adde9ed291bbd6bdc9f8fd4fc8a0380e1c4e,3,75252,99815
24df1d5e599535012641ad7c47dbd294d228458f4c730d441dc121bb61488ddb,2,60406,117264
2b77f2d6274b327c2d18c7d45fc788e7db2e35adc6ad5b2759150b53ccb44798,2,98472,171405
9654df49ea3e456006decff777ba4e84943760a7429806bf90a82c921a08a145,3,82862,119116
861c0300be8483e33b78767596746514c42eba9c11faa333e8579e0f2738999c,1,27,27
4e33a15d5e332c6022b2860d72504b215afaf3ec88e472be1341a9b09a7fddd4,1,70127,70127
f2020bd181ffc26b96e8fb02afe1dbcfb85137f151955cc4520a20e55eb55645,2,109809,138497
59e0bc5f96063f06fb03d5ab3ae639ad277da89dc559761b4b7a9a997aa62df3,6,62363,165352
165245f35be0cdb77b91a483482a21287fb6d7a67be8b342b6c874ab449d5172,1,69037,69037
23d706bc74785e3a99c39ae0187f405b4e64e3060361e195d916493d7fcf7e87,1,24741,24741
30fadcf0410a8e53b902a4d82becb7b088b70e663d674d3bf8cab4a790f1bfee,3,64371,112111.5
344764d3f2427604e16860af05819a2cb9dca07a93366c8a4fc5de71115f6947,3,84860,147338
ab25f6215f3bff3b0d9494106919975bf866cb902e49a5eb1c89f87b3194f017,1,148467,148467
d983fe6a1a6ddc4d04862a8f8779809887ec7a7e99fc94214c14bbca4b9302a7,5,70465,145654
48b3d0b0fdf9bac4d71b5262471fb6732ca79744369dfcc6ccb0be900ea2b87b,3,85703,138056
8093b34212b20a8d4f14e6ec720acf87737020cc95155fdd62ee2d741f00ac4f,1,36228,36228
3f1f3ac019f735a891caa7e09f3f5e2614b435186052451405f9fdc8e106538e,1,34415,34415
c456e5fdfd7580954f6b3bf2766681ce665f0dccfa732bdf5b2466b1feabc5cf,1,52151,52151
a7269cce9ad450efd753eb29ae4dfcb12cfa40130237f959ed79dc5fd76acc3e,3,32542,40546
3226746d101e0f3164bac7698ff5476294d699bd53b79a4c4d227b6563242d8b,2,7324,11799
1e48116975e5a218b567fb2914c84ea9595742721f33ea24456280d868d0dc22,2,329985,659970
181ba7c82e0ff5ccab3bf566fd597ca9c5b3219442603944787686a204c4fc5c,1,33197,33197
